Time (BJD_TBD - 2450000), F_e/F_star (ppm)
9.891669051015229343e+03,5.041451362122148083e+01
9.891669073907565689e+03,5.041266494970837897e+01
9.891669096799900217e+03,5.041081629822096488e+01
9.891669119692236563e+03,5.040896766646658023e+01
9.891669142584571091e+03,5.040711905473994392e+01
9.891669165476907438e+03,5.040527046274837630e+01
9.891669188369241965e+03,5.040342189078662472e+01
9.891669211261578312e+03,5.040157333856200239e+01
9.891669234153912839e+03,5.039972480636924246e+01
9.891669257046249186e+03,5.039787629391564394e+01
9.891669279938583713e+03,5.039602780149601102e+01
9.891669302830920060e+03,5.039417932881762141e+01
9.891669325723256406e+03,5.039233087602828220e+01
9.891669348615590934e+03,5.039048244327602077e+01
9.891669371507927281e+03,5.038863403026805798e+01
9.891669394400261808e+03,5.038678563729919091e+01
9.891669417292598155e+03,5.038493726407664752e+01
9.891669440184932682e+03,5.038308891089528885e+01
9.891669463077269029e+03,5.038124057746231443e+01
9.891669485969603556e+03,5.037939226407254978e+01
9.891669508861939903e+03,5.037754397043323706e+01
9.891669531754276250e+03,5.037569569669233971e+01
9.891669554646610777e+03,5.037384744299767192e+01
9.891669577538947124e+03,5.037199920905660377e+01
9.891669600431281651e+03,5.037015099516381156e+01
9.891669623323617998e+03,5.036830280102665824e+01
9.891669646215952525e+03,5.036645462693989828e+01
9.891669669108288872e+03,5.036460647261080226e+01
9.891669692000623400e+03,5.036275833833415305e+01
9.891669714892959746e+03,5.036091022381725679e+01
9.891669737785296093e+03,5.035906212920792058e+01
9.891669760677630620e+03,5.035721405465413625e+01
9.891669783569966967e+03,5.035536599986316730e+01
9.891669806462301494e+03,5.035351796512976819e+01
9.891669829354637841e+03,5.035166995016124503e+01
9.891669852246972368e+03,5.034982195525234516e+01
9.891669875139308715e+03,5.034797398011038183e+01
9.891669898031643243e+03,5.034612602503008816e+01
9.891669920923979589e+03,5.034427808971877738e+01
9.891669943816314117e+03,5.034243017447119684e+01
9.891669966708650463e+03,5.034058227899467397e+01
9.891669989600986810e+03,5.033873440343710115e+01
9.891670012493321337e+03,5.033688654794628548e+01
9.891670035385657684e+03,5.033503871222961834e+01
9.891670058277992212e+03,5.033319089658181866e+01
9.891670081170328558e+03,5.033134310071019968e+01
9.891670104062663086e+03,5.032949532490951583e+01
9.891670126954999432e+03,5.032764756888705904e+01
9.891670149847333960e+03,5.032579983293758374e+01
9.891670172739670306e+03,5.032395211676840319e+01
9.891670195632006653e+03,5.032210442052740262e+01
9.891670218524341180e+03,5.032025674436244600e+01
9.891670241416677527e+03,5.031840908798088208e+01
9.891670264309012055e+03,5.031656145167742267e+01
9.891670287201348401e+03,5.031471383515939522e+01
9.891670310093682929e+03,5.031286623872153285e+01
9.891670332986019275e+03,5.031101866207117013e+01
9.891670355878353803e+03,5.030917110550296911e+01
9.891670378770690149e+03,5.030732356872440647e+01
9.891670401663026496e+03,5.030547605188326798e+01
9.891670424555361024e+03,5.030362855512734654e+01
9.891670447447697370e+03,5.030178107816410460e+01
9.891670470340031898e+03,5.029993362128818291e+01
9.891670493232368244e+03,5.029808618420698707e+01
9.891670516124702772e+03,5.029623876721516496e+01
9.891670539017039118e+03,5.029439137002010796e+01
9.891670561909373646e+03,5.029254399291647815e+01
9.891670584801709992e+03,5.029069663561168824e+01
9.891670607694044520e+03,5.028884929840037188e+01
9.891670630586380867e+03,5.028700198098994889e+01
9.891670653478717213e+03,5.028515468352824769e+01
9.891670676371051741e+03,5.028330740616308958e+01
9.891670699263388087e+03,5.028146014860192281e+01
9.891670722155722615e+03,5.027961291113935971e+01
9.891670745048058961e+03,5.027776569348282720e+01
9.891670767940393489e+03,5.027591849592691631e+01
9.891670790832729836e+03,5.027407131817916763e+01
