Time (BJD_TBD - 2450000), F_c/F_star (ppm)
9.908282725203102018e+03,5.335362327297129070e+01
9.908282748425332102e+03,5.336367875447982101e+01
9.908282771647562186e+03,5.337373508660896704e+01
9.908282794869790450e+03,5.338379226853443527e+01
9.908282818092020534e+03,5.339385030179519021e+01
9.908282841314250618e+03,5.340390918556713018e+01
9.908282864536480702e+03,5.341396891981359829e+01
9.908282887758708966e+03,5.342402950371007364e+01
9.908282910980939050e+03,5.343409093879613181e+01
9.908282934203169134e+03,5.344415322424719506e+01
9.908282957425399218e+03,5.345421636002679122e+01
9.908282980647627483e+03,5.346428034531000151e+01
9.908283003869857566e+03,5.347434518163694861e+01
9.908283027092087650e+03,5.348441086818277768e+01
9.908283050314317734e+03,5.349447740491100234e+01
9.908283073536545999e+03,5.350454479099643379e+01
9.908283096758776082e+03,5.351461302797971342e+01
9.908283119981006166e+03,5.352468211503577322e+01
9.908283143203236250e+03,5.353475205212794918e+01
9.908283166425464515e+03,5.354482283843093882e+01
9.908283189647694599e+03,5.355489447548583826e+01
9.908283212869924682e+03,5.356496696246725975e+01
9.908283236092154766e+03,5.357504029933863166e+01
9.908283259314383031e+03,5.358511448527423227e+01
9.908283282536613115e+03,5.359518952181578300e+01
9.908283305758843198e+03,5.360526540813756213e+01
9.908283328981073282e+03,5.361534214420306199e+01
9.908283352203301547e+03,5.362541972918624822e+01
9.908283375425531631e+03,5.363549816462927566e+01
9.908283398647761715e+03,5.364557744970627340e+01
9.908283421869991798e+03,5.365565758438064137e+01
9.908283445092220063e+03,5.366573856782608232e+01
9.908283468314450147e+03,5.367582040158530532e+01
9.908283491536680231e+03,5.368590308483210549e+01
9.908283514758910314e+03,5.369598661752992541e+01
9.908283537981138579e+03,5.370607099885214097e+01
9.908283561203368663e+03,5.371615623034200127e+01
9.908283584425598747e+03,5.372624231117302429e+01
9.908283607647828831e+03,5.373632924130860999e+01
9.908283630870057095e+03,5.374641701992195664e+01
9.908283654092287179e+03,5.375650564855672542e+01
9.908283677314517263e+03,5.376659512638619987e+01
9.908283700536747347e+03,5.377668545337378703e+01
9.908283723758975611e+03,5.378677662869230147e+01
9.908283746981205695e+03,5.379686865388607231e+01
9.908283770203435779e+03,5.380696152812803490e+01
9.908283793425665863e+03,5.381705525138153234e+01
9.908283816647894128e+03,5.382714982281921579e+01
9.908283839870124211e+03,5.383724524398583355e+01
9.908283863092354295e+03,5.384734151405407232e+01
9.908283886314584379e+03,5.385743863298728940e+01
9.908283909536812644e+03,5.386753659995783750e+01
9.908283932759042727e+03,5.387763541651098365e+01
9.908283955981272811e+03,5.388773508181914451e+01
9.908283979203502895e+03,5.389783559584564898e+01
9.908284002425731160e+03,5.390793695776260819e+01
9.908284025647961244e+03,5.391803916911575101e+01
9.908284048870191327e+03,5.392814222907726673e+01
9.908284072092421411e+03,5.393824613761044873e+01
9.908284095314649676e+03,5.394835089388709548e+01
9.908284118536879760e+03,5.395845649945353983e+01
9.908284141759109843e+03,5.396856295348165133e+01
9.908284164981339927e+03,5.397867025593468782e+01
9.908284188203568192e+03,5.398877840598418487e+01
9.908284211425798276e+03,5.399888740517701535e+01
9.908284234648028360e+03,5.400899725268472906e+01
9.908284257870258443e+03,5.401910794847059805e+01
9.908284281092486708e+03,5.402921949170591631e+01
9.908284304314716792e+03,5.403933188393800435e+01
9.908284327536946876e+03,5.404944512433814907e+01
9.908284350759176959e+03,5.405955921286968646e+01
9.908284373981405224e+03,5.406967414870350552e+01
9.908284397203635308e+03,5.407978993338755913e+01
9.908284420425865392e+03,5.408990656609279313e+01
9.908284443648095476e+03,5.410002404678252930e+01
9.908284466870323740e+03,5.411014237462745768e+01
9.908284490092553824e+03,5.412026155117593618e+01
9.908284513314783908e+03,5.413038157559871166e+01
9.908284536537013992e+03,5.414050244785907751e+01
9.908284559759242256e+03,5.415062416712742532e+01
