Time (BJD_TBD - 2450000), F_planets/F_star (ppm)
1.027317824179312083e+04,6.297030147865528988e+02
1.027317832807258128e+04,6.295794045154711966e+02
1.027317841435204355e+04,6.294558479472284489e+02
1.027317850063150399e+04,6.293323450972075079e+02
1.027317858691096626e+04,6.292088959703670525e+02
1.027317867319042671e+04,6.290855005820719725e+02
1.027317875946988897e+04,6.289621589372721928e+02
1.027317884574934942e+04,6.288388710513141859e+02
1.027317893202881169e+04,6.287156369291387819e+02
1.027317901830827213e+04,6.285924565860743769e+02
1.027317910458773258e+04,6.284693300296481766e+02
1.027317919086719485e+04,6.283462572673846580e+02
1.027317927714665529e+04,6.282232383145852737e+02
1.027317936342611756e+04,6.281002731761680025e+02
1.027317944970557801e+04,6.279773618674162208e+02
1.027317953598504027e+04,6.278545043932389262e+02
1.027317962226450072e+04,6.277317007689013053e+02
1.027317970854396299e+04,6.276089509993030333e+02
1.027317979482342344e+04,6.274862550996915616e+02
1.027317988110288570e+04,6.273636130749575841e+02
1.027317996738234615e+04,6.272410249403297939e+02
1.027318005366180660e+04,6.271184907032728688e+02
1.027318013994126886e+04,6.269960103712493265e+02
1.027318022622072931e+04,6.268735839594606887e+02
1.027318031250019158e+04,6.267512114727750259e+02
1.027318039877965202e+04,6.266288929263761247e+02
1.027318048505911429e+04,6.265066283251230743e+02
1.027318057133857474e+04,6.263844176841807894e+02
1.027318065761803700e+04,6.262622610083996051e+02
1.027318074389749745e+04,6.261401583129268147e+02
1.027318083017695972e+04,6.260181096026035448e+02
1.027318091645642016e+04,6.258961148925582165e+02
1.027318100273588243e+04,6.257741741876228616e+02
1.027318108901534288e+04,6.256522875029086208e+02
1.027318117529480332e+04,6.255304548458062754e+02
1.027318126157426559e+04,6.254086762237039920e+02
1.027318134785372604e+04,6.252869516516858539e+02
1.027318143413318830e+04,6.251652811345604732e+02
1.027318152041264875e+04,6.250436646873934023e+02
1.027318160669211102e+04,6.249221023149850680e+02
1.027318169297157147e+04,6.248005940323820369e+02
1.027318177925103373e+04,6.246791398443756407e+02
1.027318186553049418e+04,6.245577397659947110e+02
1.027318195180995644e+04,6.244363938020214846e+02
1.027318203808941689e+04,6.243151019674661484e+02
1.027318212436887734e+04,6.241938642696570696e+02
1.027318221064833961e+04,6.240726807159206828e+02
1.027318229692780005e+04,6.239515513212402311e+02
1.027318238320726232e+04,6.238304760903744182e+02
1.027318246948672277e+04,6.237094550382890930e+02
1.027318255576618503e+04,6.235884881697338642e+02
1.027318264204564548e+04,6.234675754996558226e+02
1.027318272832510775e+04,6.233467170327957092e+02
1.027318281460456819e+04,6.232259127840826523e+02
1.027318290088403046e+04,6.231051627582481842e+02
1.027318298716349091e+04,6.229844669702026749e+02
1.027318307344295135e+04,6.228638254272119639e+02
1.027318315972241362e+04,6.227432381365396168e+02
1.027318324600187407e+04,6.226227051130681502e+02
1.027318333228133633e+04,6.225022263615073825e+02
1.027318341856079678e+04,6.223818018967215266e+02
1.027318350484025905e+04,6.222614317234110786e+02
1.027318359111971949e+04,6.221411158564219477e+02
1.027318367739918176e+04,6.220208543004453077e+02
1.027318376367864221e+04,6.219006470703096738e+02
1.027318384995810447e+04,6.217804941706964428e+02
1.027318393623756492e+04,6.216603956164154852e+02
1.027318402251702719e+04,6.215403514121400121e+02
1.027318410879648764e+04,6.214203615726612497e+02
1.027318419507594808e+04,6.213004261051707999e+02
1.027318428135541035e+04,6.211805450168581046e+02
1.027318436763487080e+04,6.210607183224873324e+02
1.027318445391433306e+04,6.209409460267083887e+02
1.027318454019379351e+04,6.208212281442672520e+02
1.027318462647325578e+04,6.207015646798045054e+02
1.027318471275271622e+04,6.205819556480477104e+02
1.027318479903217849e+04,6.204624010536289234e+02
1.027318488531163894e+04,6.203429009112569474e+02
1.027318497159110120e+04,6.202234552255545168e+02
1.027318505787056165e+04,6.201040640112126994e+02
1.027318514415002210e+04,6.199847272753600009e+02
1.027318523042948436e+04,6.198654450251232220e+02
1.027318531670894481e+04,6.197462172751656908e+02
1.027318540298840708e+04,6.196270440300870632e+02
1.027318548926786752e+04,6.195079253045324776e+02
1.027318557554732979e+04,6.193888611030928359e+02
1.027318566182679024e+04,6.192698514403945182e+02
1.027318574810625250e+04,6.191508963210189904e+02
1.027318583438571295e+04,6.190319957595750111e+02
1.027318592066517522e+04,6.189131497606348375e+02
1.027318600694463566e+04,6.187943583387880153e+02
1.027318609322409793e+04,6.186756214985985025e+02
1.027318617950355838e+04,6.185569392546376548e+02
1.027318626578301883e+04,6.184383116139598542e+02
1.027318635206248109e+04,6.183197385836175499e+02
1.027318643834194154e+04,6.182012201781545855e+02
1.027318652462140381e+04,6.180827564021114995e+02
1.027318661090086425e+04,6.179643472700140592e+02
1.027318669718032652e+04,6.178459927863934809e+02
1.027318678345978697e+04,6.177276929657571145e+02
1.027318686973924923e+04,6.176094478126270815e+02
1.027318695601870968e+04,6.174912573414923145e+02
1.027318704229817195e+04,6.173731215568659536e+02
1.027318712857763239e+04,6.172550404732184006e+02
1.027318721485709284e+04,6.171370140975413960e+02
1.027318730113655511e+04,6.170190424368238382e+02
1.027318738741601555e+04,6.169011255055092988e+02
1.027318747369547782e+04,6.167832633080867026e+02
1.027318755997493827e+04,6.166654558589817725e+02
1.027318764625440053e+04,6.165477031626751341e+02
1.027318773253386098e+04,6.164300052335726150e+02
1.027318781881332325e+04,6.163123620761465418e+02
1.027318790509278369e+04,6.161947737047845521e+02
1.027318799137224596e+04,6.160772401239489682e+02
1.027318807765170641e+04,6.159597613480091240e+02
1.027318816393116686e+04,6.158423373838940051e+02
1.027318825021062912e+04,6.157249682385288452e+02
1.027318833649008957e+04,6.156076539262560345e+02
1.027318842276955183e+04,6.154903944515152716e+02
1.027318850904901228e+04,6.153731898286297337e+02
1.027318859532847455e+04,6.152560400620296832e+02
1.027318868160793500e+04,6.151389451660203349e+02
1.027318876788739726e+04,6.150219051450229699e+02
1.027318885416685771e+04,6.149049200133239310e+02
1.027318894044631998e+04,6.147879897753352907e+02
1.027318902672578042e+04,6.146711144453253155e+02
1.027318911300524269e+04,6.145542940276967556e+02
1.027318919928470314e+04,6.144375285366996877e+02
1.027318928556416358e+04,6.143208179791869270e+02
1.027318937184362585e+04,6.142041623620104929e+02
1.027318945812308630e+04,6.140875616993922677e+02
1.027318954440254856e+04,6.139710159957120368e+02
1.027318963068200901e+04,6.138545252651733790e+02
1.027318971696147128e+04,6.137380895121469848e+02
1.027318980324093172e+04,6.136217087508182431e+02
1.027318988952039399e+04,6.135053829855479535e+02
1.027318997579985444e+04,6.133891122305035424e+02
1.027319006207931670e+04,6.132728964900366009e+02
1.027319014835877715e+04,6.131567357782959107e+02
1.027319023463823760e+04,6.130406301020716455e+02
1.027319032091769986e+04,6.129245794681515918e+02
1.027319040719716031e+04,6.128085838906561094e+02
1.027319049347662258e+04,6.126926433739149616e+02
1.027319057975608303e+04,6.125767579320299774e+02
1.027319066603554529e+04,6.124609275693208019e+02
1.027319075231500574e+04,6.123451522998715291e+02
1.027319083859446800e+04,6.122294321279928226e+02
1.027319092487392845e+04,6.121137670677494498e+02
1.027319101115339072e+04,6.119981571234432067e+02
1.027319109743285117e+04,6.118826023091207844e+02
1.027319118371231161e+04,6.117671026315089193e+02
1.027319126999177388e+04,6.116516580973323016e+02
1.027319135627123433e+04,6.115362687206095416e+02
1.027319144255069659e+04,6.114209345056194707e+02
1.027319152883015704e+04,6.113056554663621682e+02
1.027319161510961931e+04,6.111904316071069161e+02
1.027319170138907975e+04,6.110752629418358310e+02
1.027319178766854202e+04,6.109601494748089863e+02
1.027319187394800247e+04,6.108450912199893992e+02
1.027319196022746473e+04,6.107300881816280480e+02
1.027319204650692518e+04,6.106151403736698740e+02
1.027319213278638745e+04,6.105002478003560782e+02
1.027319221906584789e+04,6.103854104756134120e+02
1.027319230534530834e+04,6.102706284060933513e+02
1.027319239162477061e+04,6.101559015984458938e+02
1.027319247790423105e+04,6.100412300665688008e+02
1.027319256418369332e+04,6.099266138146812182e+02
1.027319265046315377e+04,6.098120528566627172e+02
