Time (BJD_TBD - 2450000), F_b/F_star (ppm)
9.882512961994083525e+03,7.340262213462775662e+02
9.882512980009774765e+03,7.340489689316922295e+02
9.882512998025466004e+03,7.340717148094167896e+02
9.882513016041155424e+03,7.340944589770277844e+02
9.882513034056846664e+03,7.341172014389901506e+02
9.882513052072536084e+03,7.341399421905833833e+02
9.882513070088227323e+03,7.341626812362726469e+02
9.882513088103916743e+03,7.341854185713381185e+02
9.882513106119607983e+03,7.342081542002437118e+02
9.882513124135299222e+03,7.342308881205660782e+02
9.882513142150988642e+03,7.342536203298823239e+02
9.882513160166679882e+03,7.342763508326552255e+02
9.882513178182369302e+03,7.342990796241674616e+02
9.882513196198060541e+03,7.343218067088807857e+02
9.882513214213749961e+03,7.343445320820784445e+02
9.882513232229441201e+03,7.343672557482219645e+02
9.882513250245132440e+03,7.343899777048891337e+02
9.882513268260821860e+03,7.344126979496583090e+02
9.882513286276513099e+03,7.344354164869903343e+02
9.882513304292202520e+03,7.344581333121698208e+02
9.882513322307893759e+03,7.344808484296564757e+02
9.882513340323583179e+03,7.345035618347359332e+02
9.882513358339274419e+03,7.345262735318674459e+02
9.882513376354965658e+03,7.345489835186299388e+02
9.882513394370655078e+03,7.345716917926033602e+02
9.882513412386346317e+03,7.345943983582458259e+02
9.882513430402035738e+03,7.346171032108445615e+02
9.882513448417726977e+03,7.346398063548570008e+02
9.882513466433416397e+03,7.346625077855713926e+02
9.882513484449107636e+03,7.346852075074441473e+02
9.882513502464798876e+03,7.347079055180558953e+02
9.882513520480488296e+03,7.347306018149878355e+02
9.882513538496179535e+03,7.347532964026954687e+02
9.882513556511868956e+03,7.347759892764687493e+02
9.882513574527560195e+03,7.347986804407628370e+02
9.882513592543249615e+03,7.348213698908679135e+02
9.882513610558940854e+03,7.348440576312387975e+02
9.882513628574632094e+03,7.348667436594570290e+02
9.882513646590321514e+03,7.348894279731048300e+02
9.882513664606012753e+03,7.349121105766358824e+02
9.882513682621702173e+03,7.349347914653423004e+02
9.882513700637393413e+03,7.349574706436767428e+02
9.882513718653082833e+03,7.349801481069324609e+02
9.882513736668774072e+03,7.350028238595613175e+02
9.882513754684465312e+03,7.350254978991463304e+02
9.882513772700154732e+03,7.350481702232711996e+02
9.882513790715845971e+03,7.350708408363869921e+02
9.882513808731535391e+03,7.350935097337882098e+02
9.882513826747226631e+03,7.351161769199256923e+02
9.882513844762916051e+03,7.351388423900947373e+02
9.882513862778607290e+03,7.351615061487448202e+02
9.882513880794298530e+03,7.351841681934605504e+02
9.882513898809987950e+03,7.352068285218265373e+02
9.882513916825679189e+03,7.352294871382914607e+02
9.882513934841368609e+03,7.352521440381531193e+02
9.882513952857059849e+03,7.352747992258591694e+02
9.882513970872749269e+03,7.352974526967074098e+02
9.882513988888440508e+03,7.353201044551452696e+02
9.882514006904131747e+03,7.353427544987586089e+02
9.882514024919821168e+03,7.353654028251334012e+02
9.882514042935512407e+03,7.353880494387159388e+02
9.882514060951201827e+03,7.354106943348059531e+02
9.882514078966893067e+03,7.354333375178493952e+02
9.882514096982582487e+03,7.354559789831463377e+02
9.882514114998273726e+03,7.354786187351420494e+02
9.882514133013964965e+03,7.355012567714233001e+02
9.882514151029654386e+03,7.355238930895775411e+02
9.882514169045345625e+03,7.355465276940487911e+02
9.882514187061035045e+03,7.355691605801392825e+02
9.882514205076726284e+03,7.355917917522922380e+02
9.882514223092415705e+03,7.356144212058107996e+02
9.882514241108106944e+03,7.356370489451372805e+02
9.882514259123798183e+03,7.356596749678601554e+02
9.882514277139487604e+03,7.356822992715680130e+02
9.882514295155178843e+03,7.357049218607023704e+02
9.882514313170868263e+03,7.357275427305683024e+02
9.882514331186559502e+03,7.357501618856065306e+02
9.882514349202248923e+03,7.357727793211223570e+02
9.882514367217940162e+03,7.357953950415563895e+02
9.882514385233631401e+03,7.358180090444978987e+02
9.882514403249320821e+03,7.358406213275367236e+02
9.882514421265012061e+03,7.358632318951123352e+02
9.882514439280701481e+03,7.358858407425319683e+02
9.882514457296392720e+03,7.359084478742340707e+02
9.882514475312082141e+03,7.359310532855267866e+02
9.882514493327773380e+03,7.359536569808479953e+02
9.882514511343464619e+03,7.359762589577882181e+02
9.882514529359154039e+03,7.359988592139388857e+02
9.882514547374845279e+03,7.360214577537369678e+02
9.882514565390534699e+03,7.360440545724919730e+02
9.882514583406225938e+03,7.360666496746403027e+02
9.882514601421915359e+03,7.360892430554924886e+02
9.882514619437606598e+03,7.361118347194837952e+02
9.882514637453297837e+03,7.361344246642064491e+02
9.882514655468987257e+03,7.361570128872529040e+02
9.882514673484678497e+03,7.361795993930577424e+02
9.882514691500367917e+03,7.362021841769334287e+02
9.882514709516059156e+03,7.362247672433132948e+02
9.882514727531748576e+03,7.362473485875107144e+02
