Time (BJD_TBD - 2450000), F_d/F_star (ppm)
1.014847005895254370e+04,9.560993353942590089e-02
1.014847007982731702e+04,9.574768574106551355e-02
1.014847010070209035e+04,9.588553705584453024e-02
1.014847012157686186e+04,9.602348747160251163e-02
1.014847014245163518e+04,9.616153701222977801e-02
1.014847016332640669e+04,9.629968565353147492e-02
1.014847018420118002e+04,9.643793341941893360e-02
1.014847020507595334e+04,9.657628029774222023e-02
1.014847022595072485e+04,9.671472627626737095e-02
1.014847024682549818e+04,9.685327137897922767e-02
1.014847026770027151e+04,9.699191559368586235e-02
1.014847028857504301e+04,9.713065890813230019e-02
1.014847030944981634e+04,9.726950134635592438e-02
1.014847033032458785e+04,9.740844288402530915e-02
1.014847035119936118e+04,9.754748354518832931e-02
1.014847037207413450e+04,9.768662331762152651e-02
1.014847039294890601e+04,9.782586218901745401e-02
1.014847041382367934e+04,9.796520018351846659e-02
1.014847043469845266e+04,9.810463728882759527e-02
1.014847045557322417e+04,9.824417349264789878e-02
1.014847047644799750e+04,9.838380881915323450e-02
1.014847049732277083e+04,9.852354325603615570e-02
1.014847051819754233e+04,9.866337679096817692e-02
1.014847053907231566e+04,9.880330944816519134e-02
1.014847055994708717e+04,9.894334120309628000e-02
1.014847058082186049e+04,9.908347208000881090e-02
1.014847060169663382e+04,9.922370206657434022e-02
1.014847062257140533e+04,9.936403115041188283e-02
1.014847064344617866e+04,9.950445935582133417e-02
1.014847066432095198e+04,9.964498667043222846e-02
1.014847068519572349e+04,9.978561308184256962e-02
1.014847070607049682e+04,9.992633861441527210e-02
1.014847072694527014e+04,1.000671632557378621e-01
1.014847074782004165e+04,1.002080869934083573e-01
1.014847076869481498e+04,1.003491098518106556e-01
1.014847078956958649e+04,1.004902318062248223e-01
1.014847081044435981e+04,1.006314528811187575e-01
1.014847083131913314e+04,1.007727730640169961e-01
1.014847085219390465e+04,1.009141923424755477e-01
1.014847087306867797e+04,1.010557107409728178e-01
1.014847089394345130e+04,1.011973282470438329e-01
1.014847091481822281e+04,1.013390448481920891e-01
1.014847093569299614e+04,1.014808605689695442e-01
1.014847095656776946e+04,1.016227753968796665e-01
1.014847097744254097e+04,1.017647893193839997e-01
1.014847099831731430e+04,1.019069023611079566e-01
1.014847101919208581e+04,1.020491144971005792e-01
1.014847104006685913e+04,1.021914257520292885e-01
1.014847106094163246e+04,1.023338361133450947e-01
1.014847108181640397e+04,1.024763455684675056e-01
1.014847110269117729e+04,1.026189541420954587e-01
1.014847112356595062e+04,1.027616618216589534e-01
1.014847114444072213e+04,1.029044685945670057e-01
1.014847116531549545e+04,1.030473744855395501e-01
1.014847118619026878e+04,1.031903794820170778e-01
1.014847120706504029e+04,1.033334835713455996e-01
1.014847122793981362e+04,1.034766867783395716e-01
1.014847124881458512e+04,1.036199890778694843e-01
1.014847126968935845e+04,1.037633904947708047e-01
1.014847129056413178e+04,1.039068910164105408e-01
1.014847131143890329e+04,1.040504906301241567e-01
1.014847133231367661e+04,1.041941893607786496e-01
1.014847135318844994e+04,1.043379871957199750e-01
1.014847137406322145e+04,1.044818841222521499e-01
1.014847139493799477e+04,1.046258801653051212e-01
1.014847141581276810e+04,1.047699753121933974e-01
1.014847143668753961e+04,1.049141695501789456e-01
1.014847145756231293e+04,1.050584629042652651e-01
1.014847147843708444e+04,1.052028553491443225e-01
1.014847149931185777e+04,1.053473469098300946e-01
1.014847152018663110e+04,1.054919375735845766e-01
1.014847154106140260e+04,1.056366273276592438e-01
1.014847156193617593e+04,1.057814161971100814e-01
1.014847158281094926e+04,1.059263041691675677e-01
1.014847160368572077e+04,1.060712912310726869e-01
1.014847162456049409e+04,1.062163774079129264e-01
1.014847164543526560e+04,1.063615626742647619e-01
1.014847166631003893e+04,1.065068470552786722e-01
1.014847168718481225e+04,1.066522305381431557e-01
1.014847170805958376e+04,1.067977131100466548e-01
1.014847172893435709e+04,1.069432947961607011e-01
1.014847174980913042e+04,1.070889755836947482e-01
1.014847177068390192e+04,1.072347554597532782e-01
1.014847179155867525e+04,1.073806344496127940e-01
1.014847181243344858e+04,1.075266125404197443e-01
1.014847183330822008e+04,1.076726897192786248e-01
1.014847185418299341e+04,1.078188660115079328e-01
1.014847187505776492e+04,1.079651413914636260e-01
1.014847189593253825e+04,1.081115158844852125e-01
1.014847191680731157e+04,1.082579894776876522e-01
1.014847193768208308e+04,1.084045621581439245e-01
1.014847195855685641e+04,1.085512339512250263e-01
1.014847197943162973e+04,1.086980048440249480e-01
1.014847200030640124e+04,1.088448748235851249e-01
1.014847202118117457e+04,1.089918439153501062e-01
1.014847204205594790e+04,1.091389121063613271e-01
1.014847206293071940e+04,1.092860793836497590e-01
1.014847208380549273e+04,1.094333457726914260e-01
1.014847210468026424e+04,1.095807112476847589e-01
1.014847212555503756e+04,1.097281758341478036e-01
1.014847214642981089e+04,1.098757395191010122e-01
1.014847216730458240e+04,1.100234022895018177e-01
1.014847218817935573e+04,1.101711641709312850e-01
1.014847220905412905e+04,1.103190251503783498e-01
1.014847222992890056e+04,1.104669852147899672e-01
1.014847225080367389e+04,1.106150443897996882e-01
1.014847227167844721e+04,1.107632026623649596e-01
1.014847229255321872e+04,1.109114600193907146e-01
1.014847231342799205e+04,1.110598164865735232e-01
1.014847233430276356e+04,1.112082720379017758e-01
1.014847235517753688e+04,1.113568266990930533e-01
1.014847237605231021e+04,1.115054804570522751e-01
1.014847239692708172e+04,1.116542332986528996e-01
1.014847241780185504e+04,1.118030852496859906e-01
1.014847243867662837e+04,1.119520362970144733e-01
1.014847245955139988e+04,1.121010864275012869e-01
1.014847248042617321e+04,1.122502356669690116e-01
1.014847250130094653e+04,1.123994840022595754e-01
1.014847252217571804e+04,1.125488314202254259e-01
1.014847254305049137e+04,1.126982779467101264e-01
1.014847256392526288e+04,1.128478235555340770e-01
1.014847258480003620e+04,1.129974682725933266e-01
1.014847260567480953e+04,1.131472120846983426e-01
1.014847262654958104e+04,1.132970549786385256e-01
1.014847264742435436e+04,1.134469969803624800e-01
1.014847266829912769e+04,1.135970380766701260e-01
1.014847268917389920e+04,1.137471782543194032e-01
1.014847271004867252e+04,1.138974175393008825e-01
1.014847273092344403e+04,1.140477559052984341e-01
1.014847275179821736e+04,1.141981933783341729e-01
1.014847277267299069e+04,1.143487299451660111e-01
1.014847279354776219e+04,1.144993655924993747e-01
1.014847281442253552e+04,1.146501003464193563e-01
1.014847283529730885e+04,1.148009341936733901e-01
1.014847285617208036e+04,1.149518671209248805e-01
1.014847287704685368e+04,1.151028991543219387e-01
1.014847289792162701e+04,1.152540302805699912e-01
1.014847291879639852e+04,1.154052604863114312e-01
1.014847293967117184e+04,1.155565897977574030e-01
1.014847296054594335e+04,1.157080181883712311e-01
1.014847298142071668e+04,1.158595456843850430e-01
1.014847300229549001e+04,1.160111722724517375e-01
1.014847302317026151e+04,1.161628979391717414e-01
1.014847304404503484e+04,1.163147227108506793e-01
1.014847306491980817e+04,1.164666465740889362e-01
1.014847308579457967e+04,1.166186695154974584e-01
1.014847310666935300e+04,1.167707915614028397e-01
1.014847312754412633e+04,1.169230126984055068e-01
1.014847314841889784e+04,1.170753329130533454e-01
1.014847316929367116e+04,1.172277522317465154e-01
1.014847319016844267e+04,1.173802706277698171e-01
1.014847321104321600e+04,1.175328881275234105e-01
1.014847323191798932e+04,1.176856047175761782e-01
1.014847325279276083e+04,1.178384203844340394e-01
1.014847327366753416e+04,1.179913351545811284e-01
1.014847329454230749e+04,1.181443490145443337e-01
1.014847331541707899e+04,1.182974619508190689e-01
1.014847333629185232e+04,1.184506739899104794e-01
1.014847335716662565e+04,1.186039851183454674e-01
1.014847337804139715e+04,1.187573953225773971e-01
1.014847339891617048e+04,1.189109046291744604e-01
1.014847341979094199e+04,1.190645130112324424e-01
1.014847344066571532e+04,1.192182204953615154e-01
1.014847346154048864e+04,1.193720270680255491e-01
1.014847348241526015e+04,1.195259327156254492e-01
1.014847350329003348e+04,1.196799374648448849e-01
1.014847352416480680e+04,1.198340413021057316e-01
1.014847354503957831e+04,1.199882442137983757e-01
1.014847356591435164e+04,1.201425462266484945e-01
1.014847358678912497e+04,1.202969473270464745e-01
1.014847360766389647e+04,1.204514475013826885e-01
1.014847362853866980e+04,1.206060467764038246e-01
1.014847364941344131e+04,1.207607451250166664e-01
1.014847367028821463e+04,1.209155425740098821e-01
1.014847369116298796e+04,1.210704391097528615e-01
1.014847371203775947e+04,1.212254347185729858e-01
1.014847373291253280e+04,1.213805294273114233e-01
1.014847375378730612e+04,1.215357232223060746e-01
1.014847377466207763e+04,1.216910160898528048e-01
1.014847379553685096e+04,1.218464080568663066e-01
1.014847381641162428e+04,1.220018991096529504e-01
1.014847383728639579e+04,1.221574892344876179e-01
1.014847385816116912e+04,1.223131784583059989e-01
1.014847387903594063e+04,1.224689667538363391e-01
1.014847389991071395e+04,1.226248541480458726e-01
